channel_name,frequency_checked_hz,attend_side,is_target_frequency_for_trial,is_occipital_channel,qc_status,mean_snr_db,median_snr_db,n
FT7,9.0,right,False,False,review,-0.6755728787778827,-0.6289622679686668,20
FT7,14.0,left,False,False,review,-1.3608022972571086,-1.0209277331713247,20
FT7,14.0,right,True,False,review,1.4835184633995548,0.8273440508854668,20
FT8,9.0,left,True,False,good,0.05982351595178047,0.25186242900978567,20
FT8,9.0,right,False,False,good,-1.6661220891892672,-1.6600840006696802,20
FT8,14.0,left,False,False,good,-0.4505442106284711,-0.32295670525533293,20
FT8,14.0,right,True,False,good,1.0594194227502451,0.6125687737343524,20
FT9,9.0,left,True,False,good,-0.04162590967907644,-0.020428960417840793,20
FT9,9.0,right,False,False,good,-0.7586181836879288,-0.9780089920932222,20
FT9,14.0,left,False,False,good,-1.723634466716242,-1.3588941078845582,20
FT9,14.0,right,True,False,good,2.520075598114085,2.6251105357437132,20
Fz,9.0,left,True,False,review,-0.7449130444929856,-0.9768081489859766,20
Fz,9.0,right,False,False,review,-1.3421722070051012,-0.922251446039946,20
Fz,14.0,left,False,False,review,-2.024826490902092,-0.8183301157487282,20
Fz,14.0,right,True,False,review,-1.5943150594049833,-1.986557508047798,20
O1,9.0,left,True,True,good,3.264626476490134,4.198018040255438,20
O1,9.0,right,False,True,good,-0.1470628628415042,0.1343213626978392,20
O1,14.0,left,False,True,good,-1.2882779454615516,-0.9188546268579174,20
O1,14.0,right,True,True,good,1.2024615290782865,1.0820908656010833,20
O2,9.0,left,True,True,good,3.7742387581612844,3.711777449812967,20
O2,9.0,right,False,True,good,1.206730921079013,1.625231120580297,20
O2,14.0,left,False,True,good,-1.2060504166986845,-1.2295325911982065,20
O2,14.0,right,True,True,good,4.2235965967943745,4.937686679315123,20
Oz,9.0,left,True,True,good,3.4993283191530002,3.7033232019785856,20
Oz,9.0,right,False,True,good,0.5295278408065727,1.1659807229079315,20
Oz,14.0,left,False,True,good,-1.2311874110403058,-1.222954714165391,20
Oz,14.0,right,True,True,good,4.899075645938456,5.127169960404798,20
P1,9.0,left,True,True,review,0.9337769601015843,0.7419899144088027,20
